,comment_id,video_id,author,comment_text,published_at,like_count
1308,Ugyo-Qc6Zsxwwx59RyR4AaABAg,JpaK8OhL4FI,@khofifah_189,gila ganteng bgtt motornya di tambah joke baru nya😭😭,2025-08-28T02:04:18Z,0
1309,UgzwthgQH8TWrKfeK214AaABAg,JpaK8OhL4FI,@HeruPrasetyo-n1v,Masih tembus air itu lewat jahitan😢😢😢,2025-08-28T01:11:37Z,0
1310,UgwRtvgjwDpJxjB9mvl4AaABAg,JpaK8OhL4FI,@ridho3328,Untuk nmax 2018 berapaa bang,2025-08-28T00:16:17Z,0
1311,UgxbNNK2R7MgnHMinZl4AaABAg,JpaK8OhL4FI,@jf_tarihoran,orang abang biasa kerja gak pake masker yah ???,2025-08-28T00:15:01Z,0
1312,UgyxdUCg9QVRI81F6zh4AaABAg,JpaK8OhL4FI,@Muhammadreyhan-i5i,Gw kira roti😂,2025-08-27T22:49:31Z,0
1313,Ugxi28921yeTWot8sjF4AaABAg,JpaK8OhL4FI,@themainone56,Gw kira roti 😂,2025-08-27T21:37:19Z,0
1314,Ugy8putglhxX91ljk-F4AaABAg,JpaK8OhL4FI,@Nephilimofearth,Chakep,2025-08-27T21:13:03Z,0
1315,UgzfGbYPsbmhIEM8eTp4AaABAg,JpaK8OhL4FI,@MuhammadkhalilKasa,bang oderan dari malaysia bisa di hantar ngak?..,2025-08-27T18:45:46Z,0
1316,UgwA0wN-VbJgfFtn0C54AaABAg,JpaK8OhL4FI,@shamanking77,Daerah Depok workshop kyk gini dimana ya...?,2025-08-27T17:25:18Z,0
1317,UgwfTqbTcnOj4OhYBiR4AaABAg,JpaK8OhL4FI,@MuhammadFathanIzzati,"Siapa yang g ngerti otomotif trus liat awal vidio ""ITU ROTI JIRR!!""",2025-08-27T13:34:59Z,0
1318,Ugy1erS-ISHrL6Ej0Kl4AaABAg,JpaK8OhL4FI,@MrGrey-zm1vf,"Penggunaan latex pada jok motor cukup bahaya, dikarnakan kandungan latex sangat mudah meleleh disuhu tertentu, makanya perusahaan industri biasanya menggunakan bahan latex untuk perabotan indoor, seperti kasur dan kursi",2025-08-27T13:25:08Z,175
1319,UgweV6gLCa79EOLLZix4AaABAg,JpaK8OhL4FI,@vzvenra5282,"Jiahhh keknya gue laper, gw kira itu roti jumbo🤤😭",2025-08-27T12:12:29Z,0
1320,UgzJCHp0ajTUR0U22j54AaABAg,JpaK8OhL4FI,@oyespaksa69,Keren sih,2025-08-27T11:29:57Z,0
1321,UgwUnAUTbq3yJph2SDl4AaABAg,JpaK8OhL4FI,@nurbass3754,Berapa duit KLO full latex bang,2025-08-27T11:02:21Z,0
1322,UgzAktT4dswzzWpQGl94AaABAg,JpaK8OhL4FI,@roseguns3625,Saping adv ada aerox itu bang. Mau liat dong dia bikin jok kaya apa,2025-08-27T10:50:49Z,1
1323,UgyUYUN7PRQzZsKOiid4AaABAg,JpaK8OhL4FI,@arifbudiman6441,Brugman street 125 bagaimana kak,2025-08-27T09:27:22Z,0
1324,UgxAx24d3uC18MCLjSB4AaABAg,JpaK8OhL4FI,@Dewasa17,"rapih banget kerjaan lu bang,sayang jauh, coba dekat mau kesitu juga",2025-08-27T09:09:38Z,0
1325,UgwkmqtVKs9SYmIm3c54AaABAg,JpaK8OhL4FI,@rafihwulan,Aku kira roti di awal,2025-08-27T08:37:37Z,0
1326,UgxZMmXOxuPCsBb3xHV4AaABAg,JpaK8OhL4FI,@gun703,lokasi mana,2025-08-27T06:51:31Z,0
1327,UgypnrrHq7f9-1uKEBx4AaABAg,JpaK8OhL4FI,@TheSlasher26,lateks kena panas matahari lama lama gk mengeras kah ??,2025-08-27T06:19:50Z,0
1328,UgzCmELx0ZGHgLn_vnx4AaABAg,JpaK8OhL4FI,@Ahmad.Asyakir28,Wahhh sasaran baru  kucing😂,2025-08-27T06:01:16Z,0
1329,Ugzx-yE_fyS1_IGqIWh4AaABAg,JpaK8OhL4FI,@metamorphofish5489,Jgn naek motor kl gak mau panas pantatnya kocak,2025-08-27T04:09:52Z,0
1330,UgwzLtVrJ0JY80dJD2p4AaABAg,JpaK8OhL4FI,@wahyurisfannn8987,adv 150 berapa ?,2025-08-27T03:14:16Z,0
1331,UgyWxbLrDOUyLBJiGuJ4AaABAg,JpaK8OhL4FI,@Lyaaaaasjj,brapaan bang ?,2025-08-27T03:11:52Z,0
