Author,Komentar,Prediksi,Score,Raw_Prob,Metode,Is_Judol
@ramabamboo3579,"P
Ges",🟢 AMAN,32.9%,0.3288355867342589,Weighted Average,0
@fayad_123,1:26 😂,🟢 AMAN,15.9%,0.1591653876117907,Weighted Average,0
@ArisSalam-x5y,Daf pake kabel lurus kalau konten biar aga bisa gw main fanny nya 😊,🟢 AMAN,24.5%,0.24478218734692858,Weighted Average,0
@hendry-wings,"Bener sekali bang daffa...setiap kali ketemu miya,pasti ke pikir bang pascol 😂😂😂",🟢 AMAN,32.5%,0.32544009576258104,Weighted Average,0
@frmn261,terakhir nih,🟢 AMAN,11.9%,0.11914109499681165,Weighted Average,0
@ZakiZaki-be9po,bang ler orang misterius,🟢 AMAN,14.0%,0.1396006925158561,Weighted Average,0
@imelmel28,Bg coba konten tapi pake skin mikasa,🟢 AMAN,19.8%,0.19752304428194653,Weighted Average,0
@bezoshort7524,🎉,🟢 AMAN,13.0%,0.1302160567068005,Weighted Average,0
@TirahErah,Bang itu ada fauzan gaming lagi coten,🟢 AMAN,11.9%,0.11929186160145476,Weighted Average,0
@nisa-n1u2,Anjir bang tumben ngerokok,🟢 AMAN,9.8%,0.09766651758059965,Weighted Average,0
@AjinurpijalVerri,Bang. Nggak lawan pascol bang pake Miya mabar,🟢 AMAN,17.1%,0.1709228413667028,Weighted Average,0
@zeros-qw,tutup bg gempa bumi,🟢 AMAN,15.1%,0.15118122801424758,Weighted Average,0
@AnisSaputra-oo7uw,Seru abangku 😂😂😂,🟢 AMAN,9.4%,0.09360711292112564,Weighted Average,0
@ykchayimie2433,Bang gua mau main fanny sma abang bolh gk,🟢 AMAN,24.1%,0.24135378020883502,Weighted Average,0
@SukarsihKasih-l9g,bg dapa wer nya berapa bag paniya,🟢 AMAN,14.8%,0.1482937037111417,Weighted Average,0
@KILLUANANIKA-BRO,Komen ke 500🎉,🟢 AMAN,28.5%,0.2853349407703157,Weighted Average,0
@AiranataZhc,9:12,🟢 AMAN,13.6%,0.13648398649903207,Weighted Average,0
@michaelsprit,Kabel apa nih tutor nya bang,🟢 AMAN,14.6%,0.14567598556399192,Weighted Average,0
@AldrichValencius-m1b,1:50,🟢 AMAN,12.1%,0.1210846645030926,Weighted Average,0
@RAFA-e9v,Bukan ngetroll tapi pasrah🗿,🟢 AMAN,34.3%,0.34344795677757517,Weighted Average,0
@NasiPecelPincukJawaTimuran,6:20 tembus tembok jir,🟢 AMAN,16.0%,0.16004229082963048,Weighted Average,0
@Josi-l4v,❤urujdurjieiijr 0:17 0:19 0:20,🟢 AMAN,12.4%,0.12377305777805356,Weighted Average,0
@MFaisalali-f2l,bg by one sama bg jess. siapa yg menang. soalnya pada gg dua² nya,🟢 AMAN,14.2%,0.14233300800992799,Weighted Average,0
@atliantiyuhandaputri9910,Blazer gaming Fany top the best,🟢 AMAN,32.9%,0.3290656057104452,Weighted Average,0
@VivoRiau-t8z,𝐗𝐔𝐗𝐔𝟒𝐃 emang game paling mntap dah bocor teruss,🔴 JUDOL,99.6%,0.99552321434021,Override GRU (Deep Learning),1
@Salwi16,Bang aku pegen mabar vip match brpa ya,🟢 AMAN,12.4%,0.12448262566518083,Weighted Average,0
@HendraMahajani,Kebanyakan bacot,🟢 AMAN,14.0%,0.1402551876254292,Weighted Average,0
@JayaPngrango,Bang coba ganti lah intronya cape gw liatnya bang,🟢 AMAN,18.8%,0.1881927455514307,Weighted Average,0
@agniapandi9190,Bangd dapaa mirip katak bijer bjir,🟢 AMAN,11.8%,0.11752206682104925,Weighted Average,0
@edytutung1485,Mahal bang,🟢 AMAN,10.1%,0.1007283990226902,Weighted Average,0
@luthfi_irsyad,Nyakak x bg,🟢 AMAN,9.2%,0.09220235879922027,Weighted Average,0
@RafkaAan,Anjai,🟢 AMAN,10.3%,0.10318182187145052,Weighted Average,0
@yocerobertering6369,Jijik,🟢 AMAN,10.2%,0.10194903231205074,Weighted Average,0
@WahyuVolvocm,Di menit ini Fanny nya tembus Batu 6.20😂😂,🟢 AMAN,13.4%,0.13416329693651496,Weighted Average,0
@MUZAKIRZEEXX,Menit 6:19 tembus tembok,🟢 AMAN,18.1%,0.18097647671414296,Weighted Average,0
@KasMan-w2b,Siapa yang sayang sama allah,🟢 AMAN,16.9%,0.16850604527659668,Weighted Average,0
@FransMeigel,Bang coba pakek HP bekas RAM 3,🟢 AMAN,7.5%,0.07540914230379846,Weighted Average,0
@AmarIkhram,Akuuuuu,🟢 AMAN,5.9%,0.059149751434460794,Weighted Average,0
@Panggil_saja_ilham,WTF tembus tembok jir 6:19,🟢 AMAN,23.2%,0.23234602953014158,Weighted Average,0
